model,macro_f1,balanced_accuracy,accuracy,fold_min,fold_max,note
"rf, balanced weights",0.7554,0.8018,0.9367,0.6775,0.7904,
"FINAL (rf tuned, no dates)",0.7345,0.8064,0.9378,0.6808,0.7741,seed 42 only; across seeds 42/7/2024 it averages 0.7402 vs 0.7325 untuned
"rf, weights capped at 20",0.7057,0.7163,0.9455,0.6241,0.7606,
hist gradient boosting,0.7022,0.7025,0.9412,0.5776,0.7914,
"two-stage, weighted stage A",0.6791,0.8365,0.921,0.6163,0.727,
logistic regression,0.6563,0.8458,0.9005,0.6084,0.6921,
two-stage,0.6509,0.7047,0.9495,0.6005,0.7222,
"rf, sqrt-balanced",0.6157,0.6391,0.952,0.5987,0.6404,
"rf, no class weight",0.5939,0.591,0.9489,0.5761,0.6291,
"rf, balanced_subsample",0.5815,0.5677,0.9478,0.5459,0.6425,
dummy (majority class),0.1877,0.2,0.8843,0.1876,0.1878,
