col,value,n,class,p_by_chance
Col4,Word633 Word575,56,Category_2,4.345641865129966e-55
Col4,Word575,50,Category_2,2.901002838559877e-49
Col1,Word8 Word9 Word10 Word11 Word5,323,Category_1,5.148978277956624e-18
Col4,Word984 Word835 Word905 Word791,6,Category_3,3.5131495627770913e-15
Col1,Word30 Word31,264,Category_1,7.406993792003988e-15
Col4,Word905 Word794,5,Category_3,9.010464900357417e-13
Col4,Word61,220,Category_1,1.6776511177849994e-12
Col1,Word199 Word200 Word201 Word202 Word7,12,Category_2,2.2439416359475964e-12
Col4,Word868,12,Category_2,2.2439416359475964e-12
Col6,Word567 Word568 Word569 Word570,187,Category_1,9.794818728395578e-11
Col6,Word563 Word121 Word579,183,Category_1,1.603587774477943e-10
Col4,Word644,10,Category_2,1.9611446645948067e-10
Col1,Word33 Word34 Word35 Word7,173,Category_1,5.499631245078946e-10
Col1,Word38 Word4 Word39,161,Category_1,2.4133625631672968e-09
Col6,Word563 Word366 Word56 Word4,155,Category_1,5.055534424663373e-09
Col4,Word783 Word784 Word785,148,Category_1,1.197941625476093e-08
Col4,Word575 Word868,8,Category_2,1.713987714232375e-08
Col1,Word44 Word45 Word46,130,Category_1,1.1012074912751042e-07
Col1,Word113 Word114 Word115 Word7,109,Category_1,1.4651257750059137e-06
Col4,Word762 Word21 Word145 Word1051,6,Category_2,1.4979791840835428e-06
Col6,Word567 Word582 Word107,107,Category_1,1.8746624286619392e-06
Col1,Word116 Word117 Word118 Word119 Word7,104,Category_1,2.713284449071212e-06
Col1,Word48 Word3 Word4 Word5,97,Category_1,6.429303235366248e-06
Col4,Word826 Word780,95,Category_1,8.226442687329765e-06
Col4,Word1609,5,Category_2,1.4004087491139174e-05
Col4,Word1236 Word773 Word774,5,Category_2,1.4004087491139174e-05
Col3,2520.0,82,Category_1,4.083430428212287e-05
Col6,Word560 Word561 Word612,81,Category_1,4.6190136329864386e-05
Col4,Word330 Word99 Word26,75,Category_1,9.675952874194668e-05
Col4,Word885 Word784 Word785,72,Category_1,0.00014004447980662336
Col6,Word560 Word611 Word603 Word604 Word605 Word6,70,Category_1,0.0001791901617688234
Col1,Word74 Word75 Word44 Word5,69,Category_1,0.00020269276400273998
Col4,Word840 Word841 Word842 Word843,69,Category_1,0.00020269276400273998
Col6,Word563 Word600 Word601 Word602,67,Category_1,0.0002593500952067027
Col1,Word160 Word161 Word61 Word45 Word39,66,Category_1,0.0002933664835329509
Col3,48.0,64,Category_1,0.0003753692235096166
Col1,Word162 Word7,62,Category_1,0.0004802936322560046
Col4,Word959 Word784 Word785,61,Category_1,0.0005432890003217969
Col4,Word807 Word808 Word46,59,Category_1,0.0006951508834144064
Col3,8799523.59,59,Category_1,0.0006951508834144064
